evid     BGWA  UMWA  WIWA  KMWA  SNWA
#80164     2.3  0     1.6   0     2.1   1996-01-09 01:07:22 Teesdorf
#81228     2.5  1.6   2.5   2.3   0     1998-04-12 10:55:32 Kobarid
#81898     0     0    0     0     0     1999-10-30 01:11:20 Deutsch Wagram
#82209    10.4  9.1   9.8   7.2  13.5   2000-07-11 02:49:47 Ebreichsdorf
#82216     2.7  1.8   2.5   1.5   3.4   2000-07-11 10:56:03 Seibersdorf
#82227     0     0    0     0     0.6   2000-07-12 21:19:53 Deutsch Brodersdorf
#82727     3.8   0    0     0     0     2001-07-01 01:48:57 Pitten
#83054     1.3   0    0     0     0     2001-11-21 17:10:19 Schwadorf
#84286     0.9   0    0     0     0     2004-07-12 13:04:06 Bovec
#85090     0     0    0     0     0     2005-07-25 03:06:57 Wiener Neustadt
#314175    0     0    0     0     0     2008-09-19 18:40:11 Wien Liesing Bombenexplosion
#52256952  0     0    0     0     0     2009-05-07 21:27:12 Mürzzuschlag
#52354487  0     0    0     0     0     2010-06-24 17:47:54 Ebreichsdorf
#52395846  0     0    0     0     0     2010-12-09 21:45:55 Obersiebenbrunn
#52395863  0     0    0     0     0     2010-12-10 08:32:41 Weikendorf
#52395857  0     0    0     0     0     2010-12-10 08:33:30 Marchegg
#52396184  0     0    0     0     0     2010-12-18 06:19:52 Ebreichsdorf
#52421143  0     0    0     0     0     2011-09-28 06:03:59 Gaaden bei Mödling
52438587   0.61  0    0     0  0.16     2012-05-20 02:03:52 Emilia Romagna
52442150   0     0 0.45     0  0.15     2012-05-29 07:00:03 Emilia Romagna    
52467650  1.6   3.6  1.2  12.0  0.1     2012-08-25 12:47:08 Wien Donaustadt Bombenexplosion
52489484   0     0    0     0  0.19     2012-11-15 03:17:33 Pitten
