1989,2
1990,2
1991,3
1992,3
1993,3
1994,3
1995,5
1996,7
1997,9
1998,10
1999,11
2000,11
2001,11
2002,12
2003,12
2004,13
2005,13
2006,24
2007,24
2008,24
2009,24
2010,24
2011,24
2012,24
